item_name,category,sub_category,unit,min_price_inr,max_price_inr,average_price_inr,market_city,last_updated,image_keyword
tomato,vegetable,solanaceae,kg,19,24,21.5,Hyderabad,2026-03,tomatoes-red-fresh
onion,vegetable,allium,kg,26,33,29.5,Hyderabad,2026-03,onions-red
potato,vegetable,root,kg,25,32,28.5,Hyderabad,2026-03,potatoes-fresh
cabbage,vegetable,cruciferous,kg,22,27,24.5,Hyderabad,2026-03,cabbage-green
cauliflower,vegetable,cruciferous,piece,34,42,38,Hyderabad,2026-03,cauliflower-white
brinjal,vegetable,solanaceae,kg,37,47,42,Hyderabad,2026-03,eggplant-purple
okra,vegetable,mallow,kg,47,59,53,Hyderabad,2026-03,okra-ladyfinger
french beans,vegetable,legume,kg,65,81,73,Hyderabad,2026-03,green-beans-fresh
carrot,vegetable,root,kg,26,33,29.5,Hyderabad,2026-03,carrots-orange
beetroot,vegetable,root,kg,36,45,40.5,Hyderabad,2026-03,beetroot-red
cucumber,vegetable,cucurbit,kg,31,39,35,Hyderabad,2026-03,cucumber-green
pumpkin,vegetable,cucurbit,kg,22,27,24.5,Hyderabad,2026-03,pumpkin-orange
bottle gourd,vegetable,cucurbit,piece,28,35,31.5,Hyderabad,2026-03,bottle-gourd-lauki
ridge gourd,vegetable,cucurbit,kg,42,53,47.5,Hyderabad,2026-03,ridge-gourd
capsicum,vegetable,solanaceae,kg,55,69,62,Hyderabad,2026-03,bell-pepper-capsicum
green chilli,vegetable,solanaceae,kg,50,63,56.5,Hyderabad,2026-03,green-chilli-pepper
ginger,vegetable,rhizome,kg,92,116,104,Hyderabad,2026-03,ginger-root
garlic,vegetable,allium,kg,139,174,156.5,Hyderabad,2026-03,garlic-cloves
spinach,vegetable,leafy,kg,19,24,21.5,Hyderabad,2026-03,spinach-leaves
coriander,vegetable,leafy,kg,16,20,18,Hyderabad,2026-03,coriander-cilantro
bitter gourd,vegetable,cucurbit,kg,44,56,50,Hyderabad,2026-03,bitter-gourd-karela
drumstick,vegetable,moringa,kg,84,105,94.5,Hyderabad,2026-03,drumstick-moringa
ivy gourd,vegetable,cucurbit,kg,37,47,42,Hyderabad,2026-03,ivy-gourd-tindora
radish,vegetable,root,kg,36,45,40.5,Hyderabad,2026-03,white-radish
snake gourd,vegetable,cucurbit,kg,40,50,45,Hyderabad,2026-03,snake-gourd
mint leaves,vegetable,leafy,kg,7,9,8,Hyderabad,2026-03,mint-leaves-fresh
cluster beans,vegetable,legume,kg,54,68,61,Hyderabad,2026-03,cluster-beans-guar
green peas,vegetable,legume,kg,58,72,65,Hyderabad,2026-03,green-peas-fresh
sweet potato,vegetable,root,kg,71,89,80,Hyderabad,2026-03,sweet-potato-orange
colocasia,vegetable,root,kg,32,41,36.5,Hyderabad,2026-03,colocasia-taro
elephant yam,vegetable,root,kg,43,54,48.5,Hyderabad,2026-03,elephant-yam
raw banana,vegetable,plantain,piece,8,12,10,Hyderabad,2026-03,raw-banana-green
curry leaves,vegetable,leafy,kg,35,44,39.5,Hyderabad,2026-03,curry-leaves
fenugreek leaves,vegetable,leafy,kg,16,20,18,Hyderabad,2026-03,fenugreek-methi
spring onion,vegetable,allium,bunch,10,15,12.5,Hyderabad,2026-03,spring-onion
amaranth leaves,vegetable,leafy,kg,15,22,18.5,Hyderabad,2026-03,amaranth-greens
sorrel leaves,vegetable,leafy,kg,20,28,24,Hyderabad,2026-03,sorrel-leaves-gongura
dill leaves,vegetable,leafy,kg,18,25,21.5,Hyderabad,2026-03,dill-leaves-fresh
pointed gourd,vegetable,cucurbit,kg,45,58,51.5,Hyderabad,2026-03,pointed-gourd-parwal
ash gourd,vegetable,cucurbit,kg,18,25,21.5,Hyderabad,2026-03,ash-gourd-white
